"","SYMBOL","ENTREZID","ENSEMBL"
"476","NTNG2","84628","ENSG00000196358"
"477","LMNB2","84823","ENSG00000176619"
"478","RWDD2A","112611","ENSG00000013392"
"479","XKR4","114786","ENSG00000206579"
"480","TNFRSF13C","115650","ENSG00000159958"
"481","HNRNPA1L2","144983","ENSG00000139675"
"482","HNRNPA1L2","144983","ENSG00000273784"
"483","VPS13B","157680","ENSG00000132549"
"484","MMS22L","253714","ENSG00000146263"
"485","MTX3","345778","ENSG00000177034"
"486","GPR141","353345","ENSG00000187037"
"487","NCR3LG1","374383","ENSG00000188211"
"489","ACKR2","1238","ENSG00000144648"
"490","LUC7L3","51747","ENSG00000108848"
"491","APC","324","ENSG00000134982"
"492","ARHGEF37","389337","ENSG00000183111"
"493","ADGRF1","266977","ENSG00000153292"
"494","PLET1","349633","ENSG00000188771"
"495","ALPI","248","ENSG00000163295"
"496","STS","412","ENSG00000101846"
"497","C6","729","ENSG00000039537"
"498","CAD","790","ENSG00000084774"
"499","CCND2","894","ENSG00000118971"
"500","CYB561","1534","ENSG00000008283"
"501","EEF2","1938","ENSG00000167658"
"502","IGF1R","3480","ENSG00000140443"
"503","KPNA3","3839","ENSG00000102753"
"504","MFAP3","4238","ENSG00000037749"
"505","NUCB2","4925","ENSG00000070081"
"506","PFN2","5217","ENSG00000070087"
"507","PHKG2","5261","ENSG00000156873"
"508","RPL5","6125","ENSG00000122406"
"509","TGFBR2","7048","ENSG00000163513"
"510","VEGFC","7424","ENSG00000150630"
"511","ZNF45","7596","ENSG00000124459"
"512","PAX8","7849","ENSG00000125618"
"513","TNFSF9","8744","ENSG00000125657"
"514","ONECUT2","9480","ENSG00000119547"
"515","SPATA2","9825","ENSG00000158480"
"516","LRIG2","9860","ENSG00000198799"
"518","MGLL","11343","ENSG00000074416"
"519","CHSY1","22856","ENSG00000131873"
"520","DDHD2","23259","ENSG00000085788"
"521","TFIP11","24144","ENSG00000100109"
"522","PPP1R16B","26051","ENSG00000101445"
"523","ZNF107","51427","ENSG00000196247"
"524","CHIC1","53344","ENSG00000204116"
"525","GRAMD1C","54762","ENSG00000178075"
"526","LAMTOR1","55004","ENSG00000149357"
"527","SLC25A36","55186","ENSG00000114120"
"528","CDV3","55573","ENSG00000091527"
"529","ENAH","55740","ENSG00000154380"
"530","CLIP4","79745","ENSG00000115295"
"531","ATAD5","79915","ENSG00000176208"
"532","ZNF442","79973","ENSG00000198342"
